bray_curtis	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A0	0	0.337	0.458	0.329	0.366	0.474	0.416	0.473	0.423	0.416	0.825	0.364	0.443	0.445	0.440	0.681	0.728	0.685	0.763	0.766	0.792	0.699	0.348	0.714	0.786	0.697	0.374	0.409	0.355	0.453	0.447	0.451	0.758	0.709	0.679	0.745	0.739	0.647	0.575	0.795	0.944	0.631	0.577
A1	0.337	0	0.297	0.185	0.145	0.313	0.173	0.302	0.210	0.287	0.677	0.218	0.209	0.243	0.270	0.510	0.580	0.534	0.609	0.603	0.644	0.549	0.206	0.566	0.634	0.543	0.149	0.179	0.147	0.258	0.230	0.253	0.591	0.560	0.629	0.697	0.635	0.571	0.490	0.637	0.951	0.635	0.539
A10	0.458	0.297	0	0.336	0.278	0.279	0.231	0.157	0.187	0.162	0.467	0.270	0.182	0.199	0.166	0.305	0.367	0.321	0.408	0.403	0.424	0.337	0.351	0.345	0.422	0.348	0.287	0.240	0.293	0.137	0.260	0.140	0.382	0.355	0.723	0.741	0.659	0.653	0.585	0.576	0.955	0.714	0.626
A11	0.329	0.185	0.336	0	0.191	0.373	0.247	0.359	0.286	0.319	0.737	0.285	0.299	0.334	0.311	0.569	0.633	0.586	0.656	0.664	0.678	0.602	0.177	0.611	0.692	0.585	0.209	0.262	0.179	0.324	0.303	0.327	0.647	0.614	0.662	0.729	0.643	0.588	0.505	0.699	0.954	0.628	0.549
A12	0.366	0.145	0.278	0.191	0	0.309	0.150	0.311	0.201	0.271	0.682	0.206	0.203	0.238	0.245	0.505	0.574	0.533	0.607	0.613	0.622	0.542	0.191	0.551	0.636	0.522	0.140	0.164	0.122	0.260	0.212	0.253	0.593	0.552	0.615	0.682	0.649	0.550	0.476	0.644	0.953	0.635	0.535
A13	0.474	0.313	0.279	0.373	0.309	0	0.240	0.282	0.243	0.271	0.597	0.303	0.259	0.267	0.265	0.434	0.495	0.454	0.544	0.537	0.560	0.462	0.400	0.468	0.550	0.443	0.322	0.279	0.328	0.263	0.248	0.252	0.518	0.462	0.709	0.747	0.654	0.660	0.598	0.567	0.966	0.693	0.647
A14	0.416	0.173	0.231	0.247	0.150	0.240	0	0.228	0.149	0.218	0.593	0.213	0.139	0.157	0.194	0.416	0.486	0.448	0.523	0.526	0.540	0.456	0.248	0.465	0.547	0.441	0.194	0.151	0.169	0.191	0.165	0.183	0.514	0.474	0.618	0.680	0.649	0.569	0.505	0.569	0.957	0.660	0.572
A15	0.473	0.302	0.157	0.359	0.311	0.282	0.228	0	0.224	0.177	0.422	0.299	0.205	0.189	0.194	0.289	0.325	0.278	0.367	0.353	0.383	0.296	0.405	0.307	0.380	0.290	0.345	0.299	0.328	0.119	0.274	0.154	0.356	0.311	0.716	0.776	0.655	0.690	0.627	0.575	0.964	0.690	0.660
A16	0.423	0.210	0.187	0.286	0.201	0.243	0.149	0.224	0	0.198	0.563	0.223	0.143	0.169	0.174	0.389	0.460	0.416	0.496	0.495	0.516	0.423	0.289	0.441	0.517	0.413	0.220	0.176	0.229	0.187	0.187	0.162	0.477	0.439	0.657	0.706	0.654	0.604	0.527	0.573	0.965	0.678	0.592
A17	0.416	0.287	0.162	0.319	0.271	0.271	0.218	0.177	0.198	0	0.516	0.228	0.206	0.165	0.151	0.362	0.417	0.381	0.466	0.457	0.474	0.381	0.363	0.399	0.474	0.375	0.311	0.278	0.289	0.172	0.269	0.185	0.441	0.389	0.699	0.756	0.652	0.667	0.598	0.576	0.965	0.707	0.593
A18	0.825	0.677	0.467	0.737	0.682	0.597	0.593	0.422	0.563	0.516	0	0.652	0.532	0.533	0.536	0.213	0.148	0.221	0.336	0.106	0.0991	0.233	0.762	0.237	0.0953	0.283	0.686	0.627	0.698	0.466	0.616	0.485	0.210	0.257	0.981	0.985	0.737	0.957	0.914	0.606	0.992	0.904	0.958
A19	0.364	0.218	0.270	0.285	0.206	0.303	0.213	0.299	0.223	0.228	0.652	0	0.268	0.229	0.204	0.476	0.555	0.510	0.587	0.588	0.605	0.506	0.295	0.531	0.610	0.503	0.253	0.236	0.225	0.274	0.240	0.280	0.565	0.521	0.662	0.724	0.654	0.627	0.554	0.620	0.959	0.699	0.551
A2	0.443	0.209	0.182	0.299	0.203	0.259	0.139	0.205	0.143	0.206	0.532	0.268	0	0.140	0.186	0.365	0.434	0.388	0.466	0.470	0.493	0.404	0.283	0.417	0.488	0.400	0.206	0.168	0.218	0.152	0.196	0.124	0.451	0.417	0.658	0.696	0.647	0.580	0.515	0.568	0.958	0.662	0.603
A20	0.445	0.243	0.199	0.334	0.238	0.267	0.157	0.189	0.169	0.165	0.533	0.229	0.140	0	0.154	0.363	0.431	0.377	0.479	0.473	0.490	0.398	0.338	0.416	0.493	0.390	0.277	0.228	0.256	0.165	0.213	0.172	0.459	0.417	0.633	0.697	0.658	0.614	0.554	0.574	0.957	0.705	0.567
A21	0.440	0.270	0.166	0.311	0.245	0.265	0.194	0.194	0.174	0.151	0.536	0.204	0.186	0.154	0	0.359	0.434	0.391	0.476	0.469	0.466	0.389	0.331	0.410	0.491	0.381	0.294	0.250	0.239	0.179	0.211	0.181	0.448	0.409	0.686	0.748	0.660	0.658	0.586	0.578	0.960	0.706	0.601
A23	0.681	0.510	0.305	0.569	0.505	0.434	0.416	0.289	0.389	0.362	0.213	0.476	0.365	0.363	0.359	0	0.129	0.109	0.294	0.159	0.174	0.163	0.593	0.171	0.171	0.212	0.515	0.458	0.524	0.298	0.438	0.312	0.166	0.172	0.829	0.835	0.673	0.803	0.753	0.585	0.981	0.836	0.807
A24	0.728	0.580	0.367	0.633	0.574	0.495	0.486	0.325	0.460	0.417	0.148	0.555	0.434	0.431	0.434	0.129	0	0.134	0.295	0.0899	0.108	0.162	0.663	0.171	0.112	0.213	0.587	0.527	0.596	0.369	0.509	0.382	0.168	0.175	0.898	0.906	0.678	0.872	0.821	0.585	0.971	0.831	0.877
A25	0.685	0.534	0.321	0.586	0.533	0.454	0.448	0.278	0.416	0.381	0.221	0.510	0.388	0.377	0.391	0.109	0.134	0	0.293	0.161	0.186	0.145	0.620	0.165	0.177	0.187	0.544	0.482	0.549	0.323	0.467	0.341	0.155	0.160	0.866	0.878	0.670	0.839	0.783	0.587	0.967	0.807	0.854
A26	0.763	0.609	0.408	0.656	0.607	0.544	0.523	0.367	0.496	0.466	0.336	0.587	0.466	0.479	0.476	0.294	0.295	0.293	0	0.310	0.304	0.291	0.695	0.295	0.312	0.291	0.621	0.569	0.620	0.400	0.542	0.426	0.299	0.308	0.951	0.957	0.701	0.915	0.865	0.574	0.974	0.855	0.841
A27	0.766	0.603	0.403	0.664	0.613	0.537	0.526	0.353	0.495	0.457	0.106	0.588	0.470	0.473	0.469	0.159	0.0899	0.161	0.310	0	0.0903	0.182	0.704	0.202	0.0758	0.239	0.622	0.562	0.636	0.405	0.550	0.418	0.186	0.205	0.928	0.933	0.706	0.904	0.860	0.593	0.984	0.847	0.913
A28	0.792	0.644	0.424	0.678	0.622	0.560	0.540	0.383	0.516	0.474	0.0991	0.605	0.493	0.490	0.466	0.174	0.108	0.186	0.304	0.0903	0	0.194	0.722	0.180	0.072	0.230	0.648	0.588	0.634	0.427	0.550	0.442	0.172	0.228	0.958	0.964	0.718	0.933	0.885	0.596	0.984	0.876	0.935
A29	0.699	0.549	0.337	0.602	0.542	0.462	0.456	0.296	0.423	0.381	0.233	0.506	0.404	0.398	0.389	0.163	0.162	0.145	0.291	0.182	0.194	0	0.614	0.129	0.187	0.159	0.559	0.494	0.567	0.341	0.489	0.354	0.131	0.157	0.858	0.892	0.691	0.861	0.800	0.583	0.967	0.794	0.849
A3	0.348	0.206	0.351	0.177	0.191	0.400	0.248	0.405	0.289	0.363	0.762	0.295	0.283	0.338	0.331	0.593	0.663	0.620	0.695	0.704	0.722	0.614	0	0.645	0.720	0.619	0.179	0.226	0.177	0.353	0.287	0.344	0.669	0.639	0.608	0.670	0.669	0.530	0.447	0.723	0.953	0.628	0.485
