unifrac	A0	A1	A12	A6	A4	A5	A10	A15	A7	A9	A2	A16	A14	A20	A8	A17	A21	A11	A3	A19	A13	A18	A24	A27	A28	A32	A23	A25	A29	A30	C32	BS2	A34	A26	G0	G1	G3	G4	T1	G5	LW1	G2	GR01
A23	0.667	0.496	0.493	0.511	0.505	0.447	0.287	0.273	0.281	0.302	0.353	0.378	0.406	0.347	0.427	0.346	0.346	0.562	0.585	0.464	0.418	0.209	0.106	0.146	0.165	0.164	0	0.096	0.142	0.153	0.156	0.155	0.203	0.285	0.820	0.827	0.797	0.747	0.796	0.578	0.815	0.661	0.962
A25	0.671	0.520	0.518	0.534	0.529	0.471	0.309	0.264	0.311	0.328	0.376	0.402	0.433	0.359	0.453	0.370	0.381	0.577	0.606	0.496	0.432	0.218	0.111	0.148	0.181	0.171	0.096	0	0.128	0.149	0.141	0.145	0.169	0.285	0.844	0.857	0.821	0.764	0.836	0.580	0.787	0.662	0.932
A29	0.675	0.523	0.509	0.542	0.529	0.470	0.300	0.267	0.313	0.320	0.376	0.388	0.426	0.369	0.460	0.347	0.347	0.569	0.579	0.465	0.433	0.229	0.140	0.169	0.177	0.179	0.142	0.128	0	0.0994	0.124	0.114	0.124	0.284	0.850	0.878	0.844	0.786	0.826	0.577	0.739	0.680	0.909
A30	0.698	0.545	0.527	0.557	0.553	0.488	0.322	0.286	0.329	0.341	0.396	0.419	0.442	0.389	0.469	0.373	0.384	0.587	0.622	0.502	0.446	0.234	0.158	0.187	0.171	0.168	0.153	0.149	0.0994	0	0.113	0.135	0.132	0.283	0.869	0.884	0.851	0.797	0.846	0.580	0.770	0.697	0.924
C32	0.693	0.539	0.523	0.563	0.549	0.493	0.326	0.288	0.332	0.342	0.398	0.408	0.448	0.393	0.477	0.368	0.382	0.591	0.611	0.500	0.441	0.254	0.160	0.193	0.212	0.195	0.156	0.141	0.124	0.113	0	0.162	0.136	0.295	0.866	0.903	0.870	0.812	0.844	0.582	0.767	0.677	0.929
BS2	0.744	0.580	0.575	0.603	0.591	0.533	0.369	0.344	0.378	0.391	0.438	0.459	0.498	0.442	0.513	0.423	0.424	0.631	0.635	0.536	0.486	0.207	0.150	0.178	0.160	0.159	0.155	0.145	0.114	0.135	0.162	0	0.158	0.291	0.920	0.926	0.887	0.833	0.878	0.575	0.798	0.683	0.943
A34	0.684	0.528	0.505	0.538	0.538	0.485	0.319	0.280	0.322	0.329	0.387	0.393	0.430	0.372	0.456	0.358	0.361	0.570	0.595	0.478	0.424	0.279	0.196	0.230	0.217	0.213	0.203	0.169	0.124	0.132	0.136	0.158	0	0.281	0.856	0.895	0.858	0.798	0.845	0.577	0.752	0.693	0.890
A26	0.753	0.600	0.597	0.609	0.611	0.558	0.398	0.361	0.390	0.417	0.456	0.485	0.513	0.469	0.531	0.459	0.468	0.646	0.685	0.579	0.530	0.333	0.281	0.301	0.298	0.304	0.285	0.285	0.284	0.283	0.295	0.291	0.281	0	0.941	0.947	0.907	0.856	0.828	0.570	0.835	0.695	0.959
G0	0.626	0.567	0.571	0.560	0.559	0.566	0.676	0.657	0.623	0.639	0.614	0.612	0.576	0.579	0.557	0.646	0.630	0.609	0.567	0.600	0.659	0.979	0.883	0.915	0.953	0.941	0.820	0.844	0.850	0.869	0.866	0.920	0.856	0.941	0	0.115	0.194	0.290	0.370	0.941	0.731	0.889	0.849
G1	0.714	0.653	0.655	0.645	0.617	0.612	0.709	0.731	0.701	0.691	0.666	0.671	0.653	0.657	0.614	0.722	0.707	0.694	0.642	0.678	0.714	0.983	0.890	0.921	0.958	0.948	0.827	0.857	0.878	0.884	0.903	0.926	0.895	0.947	0.115	0	0.220	0.326	0.451	0.945	0.783	0.901	0.915
G3	0.604	0.512	0.514	0.499	0.465	0.476	0.624	0.666	0.628	0.605	0.559	0.566	0.542	0.592	0.507	0.638	0.623	0.549	0.494	0.587	0.633	0.955	0.861	0.891	0.929	0.919	0.797	0.821	0.844	0.851	0.870	0.887	0.858	0.907	0.194	0.220	0	0.144	0.334	0.896	0.680	0.847	0.888
G4	0.535	0.440	0.436	0.417	0.382	0.405	0.550	0.604	0.564	0.541	0.493	0.500	0.476	0.530	0.441	0.564	0.555	0.463	0.410	0.516	0.560	0.912	0.810	0.846	0.882	0.873	0.747	0.764	0.786	0.797	0.812	0.833	0.798	0.856	0.290	0.326	0.144	0	0.294	0.843	0.605	0.786	0.884
T1	0.551	0.508	0.516	0.488	0.483	0.524	0.606	0.636	0.603	0.623	0.591	0.573	0.555	0.554	0.504	0.565	0.577	0.525	0.467	0.533	0.618	0.955	0.861	0.895	0.928	0.917	0.796	0.836	0.826	0.846	0.844	0.878	0.845	0.828	0.370	0.451	0.334	0.294	0	0.914	0.721	0.854	0.864
G5	0.785	0.623	0.635	0.646	0.635	0.584	0.566	0.566	0.557	0.561	0.559	0.565	0.560	0.566	0.566	0.568	0.568	0.689	0.713	0.608	0.552	0.603	0.575	0.583	0.593	0.587	0.578	0.580	0.577	0.580	0.582	0.575	0.577	0.570	0.941	0.945	0.896	0.843	0.914	0	0.849	0.631	0.967
LW1	0.602	0.574	0.581	0.586	0.586	0.606	0.665	0.653	0.636	0.617	0.613	0.620	0.606	0.664	0.620	0.667	0.661	0.576	0.570	0.639	0.634	0.901	0.807	0.837	0.857	0.859	0.815	0.787	0.739	0.770	0.767	0.798	0.752	0.835	0.731	0.783	0.680	0.605	0.721	0.849	0	0.759	0.871
G2	0.726	0.622	0.632	0.623	0.626	0.636	0.646	0.641	0.632	0.638	0.635	0.640	0.638	0.648	0.630	0.643	0.647	0.627	0.656	0.638	0.623	0.736	0.664	0.693	0.712	0.704	0.661	0.662	0.680	0.697	0.677	0.683	0.693	0.695	0.889	0.901	0.847	0.786	0.854	0.631	0.759	0	0.823
GR01	0.840	0.845	0.852	0.845	0.877	0.890	0.896	0.861	0.861	0.882	0.887	0.883	0.859	0.849	0.879	0.859	0.861	0.844	0.861	0.849	0.883	0.991	0.949	0.971	0.972	0.962	0.962	0.932	0.909	0.924	0.929	0.943	0.890	0.959	0.849	0.915	0.888	0.884	0.864	0.967	0.871	0.823	0
