unifrac_binary	A0	A1	A4	A3	A6	A11	A5	A12	A7	A8	A14	A2	A9	A10	A15	A19	A16	A13	A17	A20	A21	A23	A24	A30	A29	C32	A26	A27	BS2	A28	A32	A25	G0	G1	G3	G4	T1	GR01	LW1	A34	G2	G5	A18
A13	0.418	0.384	0.393	0.373	0.367	0.387	0.397	0.407	0.386	0.342	0.402	0.438	0.435	0.408	0.438	0.421	0.417	0	0.494	0.448	0.441	0.548	0.523	0.511	0.561	0.577	0.564	0.626	0.595	0.620	0.577	0.604	0.612	0.627	0.551	0.525	0.479	0.643	0.526	0.545	0.608	0.568	0.693
A17	0.453	0.400	0.384	0.423	0.403	0.427	0.392	0.409	0.406	0.387	0.395	0.400	0.414	0.355	0.343	0.373	0.425	0.494	0	0.314	0.383	0.493	0.490	0.471	0.496	0.539	0.503	0.511	0.505	0.549	0.513	0.586	0.550	0.547	0.532	0.524	0.519	0.628	0.548	0.524	0.661	0.588	0.705
A20	0.473	0.404	0.376	0.421	0.393	0.407	0.380	0.403	0.406	0.370	0.404	0.404	0.422	0.349	0.380	0.383	0.431	0.448	0.314	0	0.412	0.464	0.445	0.436	0.474	0.529	0.482	0.475	0.513	0.504	0.518	0.549	0.509	0.536	0.509	0.530	0.496	0.568	0.586	0.474	0.627	0.548	0.660
A21	0.431	0.373	0.376	0.379	0.358	0.384	0.369	0.378	0.394	0.347	0.366	0.380	0.385	0.366	0.358	0.375	0.430	0.441	0.383	0.412	0	0.493	0.502	0.522	0.496	0.560	0.516	0.536	0.553	0.585	0.552	0.568	0.582	0.585	0.522	0.509	0.519	0.636	0.546	0.511	0.690	0.604	0.722
A23	0.607	0.578	0.562	0.591	0.569	0.598	0.539	0.575	0.553	0.531	0.570	0.564	0.571	0.493	0.506	0.471	0.546	0.548	0.493	0.464	0.493	0	0.366	0.398	0.425	0.416	0.419	0.420	0.425	0.484	0.442	0.457	0.540	0.539	0.540	0.550	0.517	0.595	0.613	0.508	0.552	0.533	0.582
A24	0.570	0.551	0.538	0.549	0.543	0.539	0.529	0.526	0.521	0.496	0.509	0.528	0.528	0.454	0.480	0.486	0.527	0.523	0.490	0.445	0.502	0.366	0	0.390	0.430	0.472	0.441	0.458	0.481	0.460	0.449	0.470	0.558	0.542	0.533	0.534	0.524	0.579	0.621	0.490	0.610	0.519	0.593
A30	0.589	0.569	0.546	0.563	0.571	0.573	0.547	0.557	0.548	0.518	0.540	0.535	0.549	0.459	0.493	0.520	0.534	0.511	0.471	0.436	0.522	0.398	0.390	0	0.406	0.425	0.451	0.435	0.428	0.437	0.447	0.463	0.570	0.559	0.557	0.563	0.539	0.603	0.627	0.476	0.610	0.491	0.640
A29	0.605	0.597	0.571	0.598	0.592	0.587	0.580	0.584	0.570	0.522	0.561	0.577	0.582	0.487	0.543	0.501	0.587	0.561	0.496	0.474	0.496	0.425	0.430	0.406	0	0.428	0.464	0.461	0.427	0.441	0.494	0.507	0.570	0.576	0.574	0.591	0.569	0.570	0.608	0.489	0.616	0.544	0.648
C32	0.651	0.626	0.617	0.640	0.613	0.631	0.601	0.622	0.613	0.566	0.606	0.639	0.599	0.544	0.587	0.565	0.622	0.577	0.539	0.529	0.560	0.416	0.472	0.425	0.428	0	0.495	0.437	0.479	0.474	0.475	0.503	0.604	0.584	0.580	0.608	0.548	0.605	0.617	0.515	0.601	0.564	0.640
A26	0.607	0.579	0.565	0.579	0.557	0.592	0.550	0.569	0.556	0.532	0.577	0.556	0.554	0.501	0.551	0.524	0.572	0.564	0.503	0.482	0.516	0.419	0.441	0.451	0.464	0.495	0	0.448	0.498	0.516	0.473	0.519	0.578	0.562	0.583	0.592	0.560	0.592	0.624	0.554	0.640	0.525	0.623
A27	0.623	0.596	0.578	0.629	0.587	0.617	0.571	0.609	0.569	0.563	0.596	0.604	0.573	0.547	0.571	0.536	0.596	0.626	0.511	0.475	0.536	0.420	0.458	0.435	0.461	0.437	0.448	0	0.461	0.439	0.492	0.488	0.562	0.536	0.568	0.584	0.562	0.556	0.616	0.492	0.608	0.559	0.671
BS2	0.623	0.618	0.605	0.617	0.594	0.624	0.599	0.612	0.606	0.569	0.596	0.589	0.598	0.533	0.566	0.522	0.605	0.595	0.505	0.513	0.553	0.425	0.481	0.428	0.427	0.479	0.498	0.461	0	0.485	0.473	0.474	0.598	0.593	0.600	0.622	0.591	0.600	0.632	0.507	0.608	0.564	0.595
A28	0.653	0.642	0.614	0.638	0.631	0.646	0.630	0.615	0.595	0.607	0.613	0.622	0.619	0.589	0.595	0.574	0.616	0.620	0.549	0.504	0.585	0.484	0.460	0.437	0.441	0.474	0.516	0.439	0.485	0	0.505	0.512	0.533	0.528	0.555	0.574	0.552	0.520	0.654	0.479	0.609	0.564	0.633
A32	0.626	0.598	0.589	0.610	0.592	0.620	0.589	0.584	0.578	0.539	0.583	0.586	0.589	0.544	0.549	0.549	0.586	0.577	0.513	0.518	0.552	0.442	0.449	0.447	0.494	0.475	0.473	0.492	0.473	0.505	0	0.498	0.621	0.597	0.597	0.596	0.541	0.618	0.609	0.495	0.632	0.551	0.678
A25	0.668	0.638	0.653	0.629	0.636	0.651	0.635	0.641	0.635	0.599	0.623	0.611	0.648	0.565	0.590	0.578	0.612	0.604	0.586	0.549	0.568	0.457	0.470	0.463	0.507	0.503	0.519	0.488	0.474	0.512	0.498	0	0.647	0.647	0.646	0.644	0.610	0.615	0.674	0.551	0.623	0.562	0.574
G0	0.589	0.587	0.576	0.609	0.581	0.605	0.594	0.579	0.554	0.562	0.589	0.571	0.603	0.548	0.541	0.533	0.615	0.612	0.550	0.509	0.582	0.540	0.558	0.570	0.570	0.604	0.578	0.562	0.598	0.533	0.621	0.647	0	0.194	0.284	0.295	0.433	0.379	0.482	0.575	0.500	0.504	0.699
G1	0.591	0.603	0.581	0.601	0.594	0.605	0.603	0.587	0.574	0.568	0.614	0.580	0.616	0.556	0.561	0.552	0.612	0.627	0.547	0.536	0.585	0.539	0.542	0.559	0.576	0.584	0.562	0.536	0.593	0.528	0.597	0.647	0.194	0	0.300	0.327	0.467	0.418	0.490	0.580	0.539	0.526	0.693
G3	0.554	0.547	0.517	0.550	0.530	0.546	0.550	0.530	0.502	0.515	0.544	0.530	0.561	0.511	0.499	0.491	0.541	0.551	0.532	0.509	0.522	0.540	0.533	0.557	0.574	0.580	0.583	0.568	0.600	0.555	0.597	0.646	0.284	0.300	0	0.232	0.355	0.457	0.442	0.568	0.526	0.487	0.715
G4	0.514	0.510	0.508	0.521	0.510	0.524	0.521	0.491	0.484	0.502	0.500	0.513	0.528	0.504	0.486	0.459	0.540	0.525	0.524	0.530	0.509	0.550	0.534	0.563	0.591	0.608	0.592	0.584	0.622	0.574	0.596	0.644	0.295	0.327	0.232	0	0.380	0.484	0.469	0.560	0.526	0.491	0.725
T1	0.568	0.561	0.517	0.556	0.537	0.575	0.558	0.542	0.506	0.493	0.556	0.549	0.566	0.502	0.501	0.484	0.554	0.479	0.519	0.496	0.519	0.517	0.524	0.539	0.569	0.548	0.560	0.562	0.591	0.552	0.541	0.610	0.433	0.467	0.355	0.380	0	0.516	0.437	0.545	0.557	0.495	0.678
GR01	0.608	0.613	0.611	0.619	0.622	0.630	0.626	0.621	0.592	0.612	0.618	0.608	0.625	0.581	0.596	0.596	0.647	0.643	0.628	0.568	0.636	0.595	0.579	0.603	0.570	0.605	0.592	0.556	0.600	0.520	0.618	0.615	0.379	0.418	0.457	0.484	0.516	0	0.545	0.605	0.514	0.548	0.716
LW1	0.464	0.501	0.512	0.491	0.509	0.528	0.523	0.482	0.498	0.501	0.521	0.505	0.521	0.519	0.505	0.519	0.571	0.526	0.548	0.586	0.546	0.613	0.621	0.627	0.608	0.617	0.624	0.616	0.632	0.654	0.609	0.674	0.482	0.490	0.442	0.469	0.437	0.545	0	0.620	0.584	0.584	0.774
A34	0.587	0.556	0.563	0.585	0.561	0.569	0.566	0.564	0.548	0.532	0.557	0.575	0.581	0.537	0.553	0.533	0.546	0.545	0.524	0.474	0.511	0.508	0.490	0.476	0.489	0.515	0.554	0.492	0.507	0.479	0.495	0.551	0.575	0.580	0.568	0.560	0.545	0.605	0.620	0	0.625	0.532	0.687
G2	0.669	0.676	0.656	0.681	0.657	0.676	0.665	0.678	0.650	0.646	0.667	0.661	0.673	0.628	0.656	0.630	0.662	0.608	0.661	0.627	0.690	0.552	0.610	0.610	0.616	0.601	0.640	0.608	0.608	0.609	0.632	0.623	0.500	0.539	0.526	0.526	0.557	0.514	0.584	0.625	0	0.355	0.740
G5	0.660	0.642	0.624	0.631	0.617	0.646	0.632	0.629	0.597	0.582	0.619	0.610	0.644	0.586	0.610	0.573	0.642	0.568	0.588	0.548	0.604	0.533	0.519	0.491	0.544	0.564	0.525	0.559	0.564	0.564	0.551	0.562	0.504	0.526	0.487	0.491	0.495	0.548	0.584	0.532	0.355	0	0.655
A18	0.785	0.783	0.756	0.765	0.759	0.775	0.745	0.752	0.752	0.715	0.764	0.760	0.788	0.710	0.719	0.719	0.720	0.693	0.705	0.660	0.722	0.582	0.593	0.640	0.648	0.640	0.623	0.671	0.595	0.633	0.678	0.574	0.699	0.693	0.715	0.725	0.678	0.716	0.774	0.687	0.740	0.655	0
